5fm	1391	251 
193803721bobfds	15575	37 
20090127	1391	2897 
20090127	1430	615 
20090127	5303	108 
20090127	6231	743 
20090127	6542	639 
20090127	7357	2463 
20090127	9888	454 
20090127	10815	230 
20090127	11270	1517 
20090127	11291	633 
20090127	12449	2264 
20090127	12674	5160 
20090127	12909	1504 
20090127	13890	6003 
20090127	13913	134 
20090127	15265	79 
20090127	16157	1867 
20090127	17175	4242 
2b2bath	1127	592 
139b	10827	9429 
3387	627	173 
1857	8428	90 
1857	10893	136 
1857	11095	24 
1857	12818	92 
1857	13969	137 
1857	15793	774 1027 1140 1353 
2477132	16914	211 
10x20	7931	33 
10x20	12316	234 
20081212	1932	69 
20081212	2683	505 
20081212	3597	28218 
20081212	6783	217 
20081212	6820	2475 
20081212	9849	657 
20081212	11358	1154 
20081212	11800	649 
20081212	12193	823 
20081212	12894	267 
20081212	15668	409 
20081212	16120	1941 
1321	7953	186 
1321	13614	1916 
1321	14060	853 
110b	9950	989 1069 1090 
110b	13315	497 
110b	16204	232 
110b	17196	531 694 2248 2482 
416	5453	433 
416	9567	229 
416	9659	0 
416	13908	45 
20060401	246	3396 3431 
20060401	4096	3098 
20060401	4751	759 
13am	250	358 
13am	6773	114 
13am	11034	273 
20050325	553	146 176 210 
20050325	3706	489 
20050325	4560	175 
20050325	7180	427 440 
20050325	7425	190 
20050325	8576	98 
20050325	9767	47 59 85 
20130220	2480	1954 
20130220	3696	4048 
20130220	4079	544 
20130220	8017	7435 
20130220	9051	1704 
20130220	9995	420 1029 
20130220	13440	89 
20130220	15101	5575 
20130220	17144	119 
20130220	17362	333 
20130220	17413	10086 10104 10118 
20110516	1366	107 
20110516	2045	6652 
20110516	2390	119 
20110516	3181	4714 
20110516	3543	3424 3433 
20110516	4162	3866 
20110516	5478	964 
20110516	5505	4 
20110516	5973	6080 
20110516	6985	0 
20110516	7561	12520 
20110516	8018	211 
20110516	9349	4057 
20110516	10125	10424 
20110516	11156	4818 
20110516	11433	8 
20110516	11955	4145 
20110516	14990	35 
20110516	15112	1481 
20110516	16227	3553 
20110516	17318	1859 
510th	9355	36 
762915	17099	8 
4pm5pm	4784	814 826 
4pm5pm	16182	404 
55pm	4498	3974 
55pm	5726	3228 
55pm	7378	1797 
55pm	8562	118 
55pm	16688	26201 
20081110	43	1746 
20081110	1233	509 
20081110	1337	1715 
20081110	3228	1053 
20081110	4876	6113 
20081110	4897	4057 
20081110	5069	2439 
20081110	5783	3334 
20081110	6715	2323 
20081110	6781	1382 
20081110	7346	171 
20081110	7556	255 
20081110	9866	2392 
20081110	10125	4827 4877 
20081110	11086	558 
20081110	11744	5871 
20081110	12218	5448 
20081110	12288	2312 
20081110	13126	1002 
20081110	13335	738 
20081110	13484	900 
20081110	13535	4391 
20081110	13600	263 278 
20081110	13890	3290 3345 
20081110	14287	1050 
20081110	14752	1692 
20081110	14759	667 
20081110	16111	2569 
20081110	16822	1567 
20081110	16893	1362 
20111130	815	5314 5371 
20111130	1390	6284 
20111130	2243	1854 
20111130	4102	702 
20111130	4136	104 126 162 
20111130	4162	15998 
20111130	5490	8065 
20111130	9658	605 
20111130	10394	1032 
20111130	10529	22449 22491 
20111130	11348	3499 
20111130	12020	769 
20111130	12088	2454 
20111130	13196	2315 
20111130	13977	2883 
20111130	14922	126 
20111130	15019	5683 
20111130	16560	53 
20111130	16585	1728 
20111130	16736	331 
20111130	17362	8899 
349	1225	1700 
349	5144	17 
349	9989	81 
349	15114	22 
349	16586	986 
349	16724	79 
20081203	1337	1961 2035 
20081203	2570	968 
20081203	7357	2030 
20081203	9617	4813 
20081203	10104	3554 
20081203	10361	1771 
20081203	10941	4177 
20081203	12611	18 
20081203	12680	2880 
20081203	13842	2033 
20081203	13859	2237 
20081203	13890	5262 
20081203	16375	2705 
430402	1428	1825 1826 
6in	4269	581 
7252769	762	126 
5j	13209	541 
571	6385	71 
113986660785820278987	6422	21348 
80120	11529	9 
4849	7549	2115 3107 
4849	13765	267 293 
7dze	14021	1627 
21954	66	114 
20140205	9866	40172 
8th10th	9235	360 
21s	1778	817 
21s	6219	2247 
21s	15515	4377 
